,ARTIST,TITLE,METADATA_URL,IMAGE_LINK,IMAGE_NAME,DESCRIPTION,TIMEFRAME,TECHNIQUE
0,"AERTSEN, Pieter",Apostles Peter and John,https://www.wga.hu/html/a/aertsen/apostles.html,https://www.wga.hu/detail/a/aertsen/apostles.jpg,web_gallery_aaertsenapostles.jpg,"Earlier the painting was attributed to Joachim Beuckelaer, Aertsen's pupil.",1501-1550,"Oil on wood, 55,5 x 76 cm cm"
1,"AERTSEN, Pieter",Christ in the House of Martha and Mary,https://www.wga.hu/html/a/aertsen/christ_m.html,https://www.wga.hu/detail/a/aertsen/christ_m.jpg,web_gallery_aaertsenchrist_m.jpg,"A kitchen scene combined with a religious subject is set within Renaissance architecture. The background depicts the story of Christ in the house of Martha and Mary. This painting marks the transition from the late mediaeval practice of depicting religious subjects to a new era, in which art depicts the everyday life of the self confident bourgeoisie.",1501-1550,"Oil on panel, 126 x 200 cm"
2,"AGABITI, Pietro Paolo",Virgin Enthroned between Sts John the Baptist and Anthony of Padua,https://www.wga.hu/html/a/agabiti/altar1.html,https://www.wga.hu/detail/a/agabiti/altar1.jpg,web_gallery_aagabitialtar1.jpg,This is the central piece of an altarpiece. The lunette and predella belonging to the altarpiece are also in the Pinacoteca Civica in Jesi.,1501-1550,Oil on wood
3,"AGABITI, Pietro Paolo",Sts Sebastian and Roch,https://www.wga.hu/html/a/agabiti/altar32.html,https://www.wga.hu/detail/a/agabiti/altar32.jpg,web_gallery_aagabitialtar32.jpg,This is one of the four predella scenes belonging to the altarpiece with the central panel depicting the Virgin Enthroned between Sts John the Baptist and Anthony of Padua.,1501-1550,Oil on wood
4,"AGABITI, Pietro Paolo",St Jerome in the Desert,https://www.wga.hu/html/a/agabiti/altar33.html,https://www.wga.hu/detail/a/agabiti/altar33.jpg,web_gallery_aagabitialtar33.jpg,This is one of the four predella scenes belonging to the altarpiece with the central panel depicting the Virgin Enthroned between Sts John the Baptist and Anthony of Padua.,1501-1550,Oil on wood
5,"AGABITI, Pietro Paolo","Sacred Representation with Sts Francis, Anthony of Padua and Bernardino",https://www.wga.hu/html/a/agabiti/sacred.html,https://www.wga.hu/detail/a/agabiti/sacred.jpg,web_gallery_aagabitisacred.jpg,,1501-1550,Oil on wood
6,"AGRESTI, Livio",Virgin and Child with St John the Baptist and a Musician Angel,https://www.wga.hu/html/a/agresti/virgin_c.html,https://www.wga.hu/detail/a/agresti/virgin_c.jpg,web_gallery_aagrestivirgin_c.jpg,,1501-1550,"Oil on walnut panel, 23 x 18 cm"
7,"AKOTANTOS, Angelos",The Virgin Cardiotissa,https://www.wga.hu/html/a/akotanto/cardioti.html,https://www.wga.hu/detail/a/akotanto/cardioti.jpg,web_gallery_aakotantocardioti.jpg,"In the years that preceded the Turkish conquest of Constantinople and the ultimate fall of the Byzantine Empire, the Byzantine state had been restricted to the areas around Thrace and the Morea. The difficult circumstances and the insecurity that reigned led the artists of the Capital to seek safer places and new markets. Crete, an island which had been under Venetian domination since 1210, and which was flourishing economically, was one such place. Archival sources mention at least six painters from Constantinople who lived and worked at Chandax (the medieval name for the present-day city of Herakleion in Crete) at the beginning of the 15th century; among them were John Apokaukos and Nicholas Philanthropenos. The wave of ""artistic migration"" which went on even after the fall of Constantinople to the Turks (1453), led to the spread of the art of the Capital to the island and was a contributing factor in the creation of a particular school of painting, known as the ""Cretan School"", which was to dominate the art scene of the post-Byzantine years.",1401-1450,"Tempera and leaf on panel, 121 x 96,5 cm"
8,"ALBANI, Francesco",The Holy Family,https://www.wga.hu/html/a/albani/1/holy_fam.html,https://www.wga.hu/detail/a/albani/1/holy_fam.jpg,web_gallery_aalbani1holy_fam.jpg,"The composition and figural types of this Holy Family or The Rest on the Flight into Egypt, especially the statuesque Madonna, owe much to Annibale Carracci, while the soft modeling and freshness of colour, emphasized by the luminosity of the copper support, is highly characteristic of Albani.",1601-1650,"Oil on copper, 37,5 x 28,5 cm"
9,"ALBANI, Francesco",The Holy Family in a Landscape,https://www.wga.hu/html/a/albani/1/holyfam.html,https://www.wga.hu/detail/a/albani/1/holyfam.jpg,web_gallery_aalbani1holyfam.jpg,"Small, highly finished cabinet pictures were a specialty of Albani's production and proved to be enormously popular with collectors, especially in France.  Many were painted on copper, a technique he had learned during his years working in the studio of Denys Calvaert, a Flemish artist who had settled in Bologna and operated a successful workshop.",1601-1650,"Oil on copper, 34 x 26 cm"
10,"ALBANI, Francesco",Holy Family,https://www.wga.hu/html/a/albani/1/holyfami.html,https://www.wga.hu/detail/a/albani/1/holyfami.jpg,web_gallery_aalbani1holyfami.jpg,"Albani is a typical representative of the reform movement introduced by Carracci. As a student of the Bolognese artists and a colleague of Annibale who collaborated on the decoration of the Aldobrandini lunettes, he had developed a degree of confidence in his choice and application of stylistic means that allowed him not only to handle large wall areas, but also to create small and intimate devotional pictures.",1601-1650,"Oil on canvas, 57 x 43 cm"
11,"ALBERTI, Antonio",St John fresco cycle,https://www.wga.hu/html/a/albert/oratory.html,https://www.wga.hu/detail/a/albert/oratory.jpg,web_gallery_aalbertoratory.jpg,"The oratory at the west edge of the city centre of Urbino was erected c. 1393. Nothing is known about the commissioning of the paintings on the walls, a cycle depicting scenes from the life of St John the Baptist. The unidentified patron was probably from Rome from where the Salimbeni brothers, Lorenzo and Jacopo, came to Urbino for this commission. Stylistic analysis tells us that another painter was also engaged for the wall frescoes in the oratory. Antonio Alberti was responsible for the scenes from the St John cycle on the left-hand wall and on the inner façade.",1401-1450,Fresco
12,"ALBERTINELLI, Mariotto",Virgin and Child,https://www.wga.hu/html/a/albertin/virgin.html,https://www.wga.hu/detail/a/albertin/virgin.jpg,web_gallery_aalbertinvirgin.jpg,"The Virgin and Child are represented beside a window with a landscape beyond. The landscape shown through the window at right is painted with a remarkable looseness. The trees, some fine and long limbed, others made full with layered rows of browning leaves, are reminiscent of those in the background of Fra Bartolomeo's Noli Me Tangere in the Louvre. Albertinelli and Fra Bartolomeo set up a workshop in the 1490s. They appear to have been close friends and the two operated under an equal partnership.",1451-1500,"Tempera on panel, 60 x 47 cm"
13,"ALBERTINELLI, Mariotto",Virgin and Child,https://www.wga.hu/html/a/albertin/virgin_c.html,https://www.wga.hu/detail/a/albertin/virgin_c.jpg,web_gallery_aalbertinvirgin_c.jpg,,1451-1500,"Panel, 51 x 35 cm"
14,"ALLORI, Alessandro",Scenes from the life of St Jerome (detail),https://www.wga.hu/html/a/allori/alessand/gaddi2.html,https://www.wga.hu/detail/a/allori/alessand/gaddi2.jpg,web_gallery_aallorialessandgaddi2.jpg,"In 1577 Alessandro Allori painted the frescoes of the cupola of the Gaddi Chapel in Santa Maria Novella. The frescoes inserted in the mirrors of the vault and the intrados of the entrance arch are by Alessandro Allori, a pupil of Bronzino, They depict scenes from the life of St Jerome, Virtue and other allegorical figures, and are signed and dated 1577.",1551-1600,Fresco
15,"ALLORI, Alessandro",Most Holy Trinity,https://www.wga.hu/html/a/allori/alessand/holytrin.html,https://www.wga.hu/detail/a/allori/alessand/holytrin.jpg,web_gallery_aallorialessandholytrin.jpg,"The Cappella di San Luca (Chapel of St Luke) is a memorial chapel for artists in Santissima Annunziata, Florence. It has belonged to the artists confraternity or the Accademia delle Arti del Disegno since 1565. Many artists are buried in its vault, including Benvenuto Cellini, Pontormo, Franciabigio, Giovanni Angelo Montorsoli and Lorenzo Bartolini.",1551-1600,Fresco
16,"ALLORI, Alessandro",The Preaching of St John the Baptist,https://www.wga.hu/html/a/allori/alessand/preachin.html,https://www.wga.hu/detail/a/allori/alessand/preachin.jpg,web_gallery_aallorialessandpreachin.jpg,"In a nocturnal scene, John the Baptist preaches the coming of Christ. He holds the standard of the Resurrection above a lamb representing Christ's sacrifice. Allori seems to have looked back to the Mannerist for his palette, to Michelangelo for his figures, and to northern Europe for his landscape.",1551-1600,"Oil on copper, 39 x 47 cm"
17,"ALLORI, Alessandro",St Peter Walking on the Water,https://www.wga.hu/html/a/allori/alessand/st_peter.html,https://www.wga.hu/detail/a/allori/alessand/st_peter.jpg,web_gallery_aallorialessandst_peter.jpg,"In this work, as often occurs in the painting of Allori, the composition is slightly over-emphatic. Saint Peter, kneeling in the foreground, enveloped in his billowing garments, seems in fact to be acting on a stage. The setting, instead, is made pleasant and gracious thanks to an almost archaic use of perspective, to that sea rising high on the horizon, ruffled by light foaming waves, and to the small boat, tossed by the waters, brimming with small figures.",1551-1600,"Oil on copper, 47 x 40 cm"
